slot_id,throughput_slot
0,41615.245
1,1350.25
2,1043.592
3,30.656
4,2300.692
5,4183.2029999999995
6,688.134
7,2967.149
8,1043.592
9,3952.6729999999993
10,2961.274
11,495275.632
12,2086.994
13,6.912
14,3388.218
15,3399.866
16,2104.016
17,1062.596
18,2363.186
19,6.912
20,87.552
21,78.312
22,111.296
23,539.844
24,652.037
25,675.7810000000001
26,4922.375
27,3141.146
28,1821.102
29,0.0
30,3395.131
31,1129.194
32,2317.716
33,3205.485
34,2080.016
35,2990.842
36,495938.902
37,2622.356
38,3137.2400000000002
39,10.367999999999999
40,2387.156
41,713.862
42,0.0
43,30.656
44,1068.616
45,10.367999999999999
46,2151.506
47,3081.709
48,2089.936
49,2331.378
50,1081.288
51,3101.017
52,3094.106
53,2881.5260000000003
54,1578.7640000000001
55,1309.674
56,1319.594
57,2080.272
58,3205.485
59,5361.196
60,6.912
61,22577.472
62,40.32
63,111.29599999999999
64,976.743
65,262.37
66,1844.846
67,266.082
68,2735.8900000000003
69,3258.746
70,2945.416
71,460.836
72,1585.6760000000002
73,2729.206
74,1333.452
75,3378.5879999999997
76,2370.098
77,2241.556
78,2904.826
79,915.272
80,2998.01
81,1832.975
82,6.912
83,2427.9750000000004
84,815.0780000000001
85,2359.73
86,10.367999999999999
87,908.104
88,3057.146
89,3399.866
90,3399.866
91,1302.762
92,6.912
93,1060.424
94,3247.5460000000003
95,2699.5280000000002
96,2797.976
97,1559.556
98,808.166
99,1036.68
100,3613.98
101,3285.626
102,3140.697
103,47.232
104,47.232
105,87.552
106,1171.72
107,780.1020000000001
108,522.66
109,1578.286
110,5910.224
111,3214.3940000000002
112,509963.428
113,289.826
114,3399.866
115,3399.866
116,3399.866
117,1817.6460000000002
118,262.62600000000003
119,289.826
120,3159.208
121,3140.6960000000004
122,3162.293
123,2339.442
124,0.0
125,842.373
126,2331.3779999999997
127,1061.2559999999999
128,1256.8419999999999
129,30.656
130,2331.378
131,4714.981
132,1033.096
133,3133.5280000000002
134,1108.381
135,3418.877
136,3399.866
137,580839.442
138,2363.186
139,6.912
140,2584.2799999999997
141,2885.786
142,2324.21
143,1036.68
144,2389.102
145,6.912
146,87.552
147,78.312
148,111.296
149,871.368
150,1066.442
151,878.28
152,4748.778
153,2702.553
154,1039.112
155,0.0
156,3147.6090000000004
157,1574.284
158,2356.018
159,3075.34
160,1069.768
161,3388.218
162,581616.952
163,2363.186
164,3396.4100000000003
165,10.367999999999999
166,1808.786
167,797.192
168,0.0
169,30.656
170,2110.032
171,10.367999999999999
172,1733.072
173,2661.149
174,2161.3940000000002
175,2080.272
176,2400.2090000000003
177,1870.798
178,1731.7250000000001
179,1578.9560000000001
180,668.869
181,787.974
182,668.869
183,910.087
184,1611.21
185,3028.0240000000003
186,7.776
187,22577.472
188,40.32
189,111.29599999999999
190,845.126
191,393.987
192,804.806
193,264.962
194,1326.896
195,1707.981
196,1588.172
197,393.987
198,675.7810000000001
199,1578.9560000000001
200,652.037
201,1984.463
202,1327.818
203,1191.881
204,1707.981
205,539.844
206,1707.981
207,1168.137
208,6.912
209,1095.1100000000001
210,523.0120000000001
211,1090.056
212,139.393
213,410.819
214,1707.981
215,1707.981
216,1707.981
217,781.062
218,6.912
219,410.819
220,1707.981
221,1588.172
222,1578.9560000000001
223,907.711
224,288.706
225,516.1
226,1991.375
227,1707.981
228,1707.982
229,47.232
230,47.232
231,87.552
232,522.115
233,387.07500000000005
234,393.987
235,804.806
236,3286.938
237,1707.981
238,288393.987
239,30.656
240,1707.981
241,1707.981
242,1707.981
243,1035.656
244,132.481
245,30.656
246,1588.172
247,1684.237
248,1589.708
249,1191.881
250,0.0
251,307.13800000000003
252,1297.1619999999998
253,448.38700000000006
254,781.062
255,30.656
256,1039.112
257,2376.85
258,645.125
259,1449.931
260,684.291
261,1996.688
262,1707.981
263,289297.16199999995
264,1191.017
265,7.776
266,1449.931
267,1707.981
268,1136.33
269,317.85900000000004
270,146.34
271,7.776
272,77.47200000000001
273,87.552
274,102.056
275,33.824
276,6.912
277,30.656
278,61.312
279,30.656
280,6.048
281,0.864
282,37.568
283,23.744
284,30.656
285,30.656
286,13.824
287,30.656
288,30.656
289,30.656
290,27.2
291,10.368
292,30.656
293,6.912
294,0.0
295,30.656
296,27.2
297,10.368
298,23.744
299,30.656
300,30.656
301,6.912
302,30.656
303,37.568
304,30.656
305,30.656
306,23.744
307,6.912
308,30.656
309,6.912
310,30.656
311,57.855999999999995
312,10.367999999999999
313,22567.392000000003
314,50.4
315,111.29599999999999
316,70.976
317,6.912
318,30.656
319,6.912
320,23.744
321,30.656
322,30.656
323,6.912
324,30.656
325,30.656
326,6.912
327,30.656
328,29.792
329,38.432
330,30.656
331,23.744
332,6.912
333,30.656
334,6.912
335,30.656
336,6.912
337,56.992
338,4.32
339,30.656
340,30.656
341,30.656
342,30.656
343,6.912
344,6.912
345,23.744
346,30.656
347,30.656
348,30.656
349,4.536
350,30.656
351,0.0
352,30.656
353,37.568
354,30.656
355,47.232
356,47.232
357,77.47200000000001
358,145.12
359,0.0
360,6.912
361,30.656
362,61.312
363,30.656
364,6.912
365,6.912
366,30.656
367,30.656
368,30.656
369,27.2
370,3.456
371,6.912
372,30.656
373,30.656
374,30.656
375,30.656
376,0.0
377,30.656
378,6.912
379,61.312
380,6.912
381,6.912
382,23.744
383,37.568
384,23.744
385,30.656
386,6.912
387,61.312
388,30.656
389,6.912
390,27.2
391,10.367999999999999
392,30.656
393,30.656
394,30.656
395,0.0
396,27.2
397,10.367999999999999
398,67.392
399,87.552
400,102.056
401,43.903999999999996
402,6.912
403,30.656
404,37.568
405,30.656
406,29.792
407,0.864
408,37.568
409,23.744
410,6.912
411,30.656
412,37.568
413,30.656
414,30.656
415,23.744
416,33.248
417,4.32
418,30.656
419,6.912
420,6.912
421,23.744
422,33.248
423,4.32
424,30.656
425,30.656
426,30.656
427,6.912
428,30.656
429,37.568
430,30.656
431,30.656
432,23.744
433,6.912
434,30.656
435,6.912
436,30.656
437,57.855999999999995
438,10.367999999999999
439,22557.312
440,50.4
441,111.29599999999999
442,81.056
443,6.912
444,30.656
445,6.912
446,23.744
447,30.656
448,30.656
449,6.912
450,30.656
451,30.656
452,0.0
453,37.568
454,27.2
455,34.112
456,933.831
457,804.806
458,1555.212
459,1320.906
460,0.0
461,837.0600000000001
462,781.062
463,835.462
464,393.987
465,159.233
466,1702.605
467,1707.981
468,1707.981
469,1039.112
470,6.912
471,152.321
472,1702.157
473,1582.764
474,1573.58
475,1165.761
476,30.656
477,514.308
478,1591.9479999999999
479,2091.024
480,1972.9440000000002
481,37.152
482,57.312
483,67.392
484,155.2
485,0.0
486,6.912
487,30.656
488,2119.889
489,1707.981
490,288652.037
491,6.912
492,1578.9560000000001
493,1707.981
494,1707.981
495,1188.425
496,132.481
497,6.912
498,1459.1470000000002
499,1578.9560000000001
500,1589.708
501,1449.067
502,0.864
503,159.681
504,1444.6190000000001
505,190.337
506,1039.112
507,6.912
508,797.894
509,2489.043
510,797.894
511,1191.881
512,942.341
513,1738.6380000000001
514,1707.981
515,289555.212
516,1188.425
517,10.367999999999999
518,1191.881
519,1707.981
520,1578.9560000000001
521,129.025
522,1588.402
523,10.367999999999999
524,67.392
525,77.47200000000001
526,102.056
527,570.0840000000001
528,652.037
529,159.681
530,3134.169
531,3256.281
532,2610.292
533,0.864
534,2360.0190000000002
535,2346.194
536,1813.2620000000002
537,3191.7650000000003
538,2618.068
539,2869.206
540,579127.2559999999
541,2088.1440000000002
542,3385.306
543,781.062
544,1578.9560000000001
545,1813.2620000000002
546,6.912
547,23.744
548,1573.58
549,539.588
550,1320.906
551,3148.76
552,3123.672
553,1292.682
554,3153.239
555,2360.019
556,3377.242
557,3381.722
558,1055.944
559,2329.362
560,1320.906
561,1039.112
562,3191.7650000000003
563,3385.306
564,3392.219
565,57.312
566,22540.32
567,111.296
568,865.2860000000001
569,1555.212
570,804.806
571,1297.162
572,1855.8980000000001
573,3385.306
574,3145.688
575,1555.212
576,546.7560000000001
577,3385.306
578,1032.2
579,3945.181
580,3381.85
581,1582.412
582,3385.306
583,1837.006
584,2845.462
585,2869.206
586,0.0
587,1385.415
588,1813.2620000000002
589,1351.5620000000001
590,1039.112
591,30.656
592,3385.306
593,3385.306
594,3385.306
595,2329.362
596,6.912
597,23.744
598,3373.658
599,3145.688
600,3361.562
601,2143.082
602,6.912
603,1052.3600000000001
604,2621.524
605,2095.056
606,2101.969
607,27.072
608,67.392
609,57.312
610,165.28
611,645.125
612,523.0120000000001
613,30.656
614,1990.864
615,1707.981
616,288781.06200000003
617,6.912
618,1445.003
619,1702.157
620,1707.085
621,1317.45
622,131.61700000000002
623,7.776
624,1325.61
625,1578.06
626,1707.981
627,1457.227
628,3.456
629,30.656
630,1568.204
631,61.312
632,1164.105
633,6.912
634,666.629
635,2480.531
636,923.783
637,1059.272
638,1071.366
639,1709.07
640,1702.157
641,289578.956
642,1059.4
643,139.393
644,1062.856
645,1707.981
646,1707.981
647,0.0
648,1588.402
649,139.393
650,57.312
651,70.56
652,102.056
653,587.076
654,651.173
655,31.52
656,3134.1690000000003
657,1707.981
658,1176.907
659,0.864
660,287.81
661,1445.003
662,6.912
663,30.656
664,37.568
665,30.656
666,30.656
667,23.744
668,30.656
669,6.912
670,30.656
671,6.912
672,6.912
673,23.744
674,30.656
675,6.912
676,30.656
677,30.656
678,30.656
679,6.912
680,29.792
681,7.776
682,61.312
683,30.656
684,23.744
685,6.912
686,30.656
687,6.912
688,30.656
689,30.656
690,30.656
691,47.232
692,22547.232
693,111.296
694,101.21600000000001
695,6.912
696,30.656
697,6.912
698,23.744
699,30.656
700,30.656
701,6.912
702,30.656
703,30.656
704,0.0
705,30.656
706,34.112
707,34.112
708,30.656
709,30.656
710,6.912
711,30.656
712,0.0
