slot_id,cell_id,congestion_event
1,1,1
3,1,1
5,1,1
8,1,0
9,1,1
11,1,0
12,1,1
14,1,0
18,1,1
20,1,1
21,1,0
22,1,0
23,1,0
24,1,1
29,1,1
30,1,1
35,1,1
37,1,1
40,1,0
41,1,0
42,1,1
43,1,1
44,1,0
45,1,1
46,1,1
50,1,1
51,1,1
55,1,0
56,1,1
57,1,1
61,1,0
62,1,1
63,1,1
64,1,0
65,1,0
66,1,1
67,1,1
72,1,1
73,1,0
75,1,1
77,1,1
81,1,1
82,1,0
83,1,1
84,1,0
85,1,1
87,1,0
88,1,1
91,1,0
93,1,1
94,1,0
98,1,0
99,1,0
102,1,0
103,1,0
104,1,1
105,1,1
106,1,1
107,1,1
108,1,0
109,1,1
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
116,1,0
119,1,0
120,1,0
123,1,0
124,1,1
125,1,0
127,1,1
128,1,0
129,1,0
131,1,0
134,1,0
137,1,0
139,1,0
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,1,1
150,1,1
151,1,1
154,1,0
155,1,1
156,1,1
160,1,0
161,1,1
163,1,1
166,1,0
167,1,0
168,1,1
169,1,1
170,1,0
171,1,1
172,1,1
176,1,1
177,1,1
178,1,0
182,1,1
183,1,1
186,1,0
187,1,0
188,1,1
189,1,1
190,1,0
191,1,0
192,1,1
193,1,1
198,1,1
199,1,0
201,1,1
203,1,1
204,1,0
207,1,1
208,1,0
209,1,1
210,1,0
211,1,1
213,1,0
214,1,1
217,1,0
219,1,1
220,1,0
222,1,1
224,1,0
225,1,0
229,1,1
230,1,0
231,1,0
234,1,0
235,1,1
238,1,0
239,1,1
240,1,0
242,1,0
245,1,1
246,1,0
247,1,1
249,1,0
250,1,0
251,1,0
252,1,1
253,1,0
254,1,0
255,1,1
257,1,1
261,1,1
263,1,0
264,1,1
265,1,0
266,1,0
267,1,0
270,1,1
271,1,0
272,1,1
273,1,0
274,1,0
275,1,0
276,1,1
280,1,0
281,1,1
282,1,1
286,1,1
287,1,0
288,1,1
292,1,0
293,1,0
294,1,1
295,1,1
296,1,0
297,1,1
298,1,1
302,1,1
303,1,1
304,1,0
308,1,1
309,1,1
313,1,0
314,1,1
315,1,1
316,1,0
317,1,0
318,1,1
319,1,1
324,1,1
325,1,0
329,1,1
330,1,0
333,1,1
334,1,0
335,1,1
336,1,0
337,1,1
339,1,0
340,1,1
343,1,0
345,1,1
346,1,0
348,1,1
350,1,0
351,1,0
355,1,1
356,1,0
357,1,0
